,Total energy production (Billion Btu),State
1973  ,354585,Arkansas
1974  ,316856,Arkansas
1975  ,346928,Arkansas
1976  ,332384,Arkansas
1977  ,361643,Arkansas
1978  ,372965,Arkansas
1979  ,351545,Arkansas
1980  ,382605,Arkansas
1981  ,375352,Arkansas
1982  ,400516,Arkansas
1983  ,422558,Arkansas
1984  ,459031,Arkansas
1985  ,486415,Arkansas
1986  ,416083,Arkansas
1987  ,435320,Arkansas
1988  ,441834,Arkansas
1989  ,456854,Arkansas
1990  ,468832,Arkansas
1991  ,471492,Arkansas
1992  ,496959,Arkansas
1993  ,534466,Arkansas
1994  ,514452,Arkansas
1995  ,494519,Arkansas
1996  ,538244,Arkansas
1997  ,534935,Arkansas
1998  ,492843,Arkansas
1999  ,461693,Arkansas
2000  ,447383,Arkansas
2001  ,462914,Arkansas
2002  ,469254,Arkansas
2003  ,478374,Arkansas
2004  ,503228,Arkansas
2005  ,484774,Arkansas
2006  ,572681,Arkansas
2007  ,593919,Arkansas
2008  ,761602,Arkansas
2009  ,1007435,Arkansas
2010  ,1254301,Arkansas
2011  ,1397623,Arkansas
2012  ,1477903,Arkansas
2013  ,1445668,Arkansas
2014  ,1451635,Arkansas
2015  ,1327023,Arkansas
2016  ,1122488,Arkansas
2017  ,994612,Arkansas
1960  ,36737,Arizona
1961  ,35506,Arizona
1962  ,35003,Arizona
1963  ,36668,Arizona
1964  ,36786,Arizona
1965  ,53947,Arizona
1966  ,62173,Arizona
1967  ,74733,Arizona
1968  ,83935,Arizona
1969  ,83154,Arizona
1970  ,83347,Arizona
1971  ,107529,Arizona
1972  ,146644,Arizona
1973  ,155841,Arizona
1974  ,228968,Arizona
1975  ,239058,Arizona
1976  ,317800,Arizona
1977  ,322606,Arizona
1978  ,282521,Arizona
1979  ,337892,Arizona
1980  ,363380,Arizona
1981  ,351173,Arizona
1982  ,369985,Arizona
1983  ,429319,Arizona
1984  ,444544,Arizona
1985  ,397320,Arizona
1986  ,536812,Arizona
1987  ,515728,Arizona
1988  ,616440,Arizona
1989  ,450325,Arizona
1990  ,564631,Arizona
1991  ,644029,Arizona
1992  ,632315,Arizona
1993  ,586831,Arizona
1994  ,624857,Arizona
1995  ,650960,Arizona
1996  ,644652,Arizona
1997  ,706668,Arizona
1998  ,693182,Arizona
1999  ,691731,Arizona
2000  ,705102,Arizona
2001  ,684436,Arizona
2002  ,689876,Arizona
2003  ,643922,Arizona
2004  ,653417,Arizona
2005  ,611616,Arizona
2006  ,511639,Arizona
2007  ,538978,Arizona
2008  ,576916,Arizona
2009  ,563072,Arizona
2010  ,580368,Arizona
2011  ,615878,Arizona
2012  ,595237,Arizona
2013  ,591362,Arizona
2014  ,631828,Arizona
2015  ,616155,Arizona
2016  ,594605,Arizona
2017  ,621083,Arizona
1960  ,2631707,California
1961  ,2620632,California
1962  ,2693123,California
1963  ,2845524,California
1964  ,2833855,California
1965  ,3010487,California
1966  ,3167320,California
1967  ,3340273,California
1968  ,3395904,California
1969  ,3464304,California
1970  ,3310500,California
1971  ,3172161,California
1972  ,2951080,California
1973  ,2929685,California
1974  ,2882164,California
1975  ,2790403,California
1976  ,2686499,California
1977  ,2736117,California
1978  ,2957101,California
1979  ,2917314,California
1980  ,2999587,California
1981  ,3071793,California
1982  ,3337623,California
1983  ,3502204,California
1984  ,3587630,California
1985  ,3635369,California
1986  ,3648616,California
1987  ,3424311,California
1988  ,3342016,California
1989  ,3409250,California
1990  ,3278496,California
1991  ,3252353,California
1992  ,3186979,California
1993  ,3205282,California
1994  ,2985941,California
1995  ,3090625,California
1996  ,3134670,California
1997  ,3048656,California
1998  ,3191189,California
1999  ,3103332,California
2000  ,3067344,California
2001  ,2875661,California
2002  ,2925697,California
2003  ,2903093,California
2004  ,2762618,California
2005  ,2808170,California
2006  ,2800649,California
2007  ,2618152,California
2008  ,2519558,California
2009  ,2491556,California
2010  ,2534927,California
2011  ,2639011,California
2012  ,2319603,California
2013  ,2370609,California
2014  ,2383135,California
2015  ,2350026,California
2016  ,2423649,California
2017  ,2535788,California
1960  ,481990,Colorado
1961  ,478734,Colorado
1962  ,442523,Colorado
1963  ,429285,Colorado
1964  ,432670,Colorado
1965  ,445930,Colorado
1966  ,466893,Colorado
1967  ,453082,Colorado
1968  ,449325,Colorado
1969  ,425758,Colorado
1970  ,405619,Colorado
1971  ,414821,Colorado
1972  ,451251,Colorado
1973  ,509701,Colorado
1974  ,542260,Colorado
1975  ,593241,Colorado
1976  ,642691,Colorado
1977  ,712105,Colorado
1978  ,734611,Colorado
1979  ,826733,Colorado
1980  ,836693,Colorado
1981  ,870202,Colorado
1982  ,854097,Colorado
1983  ,764482,Colorado
1984  ,796835,Colorado
1985  ,797273,Colorado
1986  ,731806,Colorado
1987  ,700886,Colorado
1988  ,787764,Colorado
1989  ,821590,Colorado
1990  ,875376,Colorado
1991  ,919976,Colorado
1992  ,976367,Colorado
1993  ,1115078,Colorado
1994  ,1236752,Colorado
1995  ,1336570,Colorado
1996  ,1344432,Colorado
1997  ,1468963,Colorado
1998  ,1550702,Colorado
1999  ,1566496,Colorado
2000  ,1584090,Colorado
2001  ,1734178,Colorado
2002  ,1924325,Colorado
2003  ,2026044,Colorado
2004  ,2191488,Colorado
2005  ,2243661,Colorado
2006  ,2287268,Colorado
2007  ,2356187,Colorado
2008  ,2462253,Colorado
2009  ,2491746,Colorado
2010  ,2555935,Colorado
2011  ,2742681,Colorado
2012  ,2915329,Colorado
2013  ,2829602,Colorado
2014  ,3056899,Colorado
2015  ,3194760,Colorado
2016  ,3066062,Colorado
2017  ,3221784,Colorado
1960  ,17406,Connecticut
1961  ,17076,Connecticut
1962  ,15937,Connecticut
1963  ,16253,Connecticut
1964  ,16703,Connecticut
1965  ,15500,Connecticut
1966  ,16243,Connecticut
1967  ,24128,Connecticut
1968  ,52598,Connecticut
1969  ,59867,Connecticut
1970  ,58859,Connecticut
1971  ,104379,Connecticut
1972  ,106643,Connecticut
1973  ,68780,Connecticut
1974  ,111459,Connecticut
1975  ,111827,Connecticut
1976  ,160076,Connecticut
1977  ,165981,Connecticut
1978  ,178065,Connecticut
1979  ,167591,Connecticut
1980  ,172842,Connecticut
1981  ,182655,Connecticut
1982  ,192310,Connecticut
1983  ,174555,Connecticut
1984  ,196037,Connecticut
1985  ,175409,Connecticut
1986  ,232990,Connecticut
1987  ,245290,Connecticut
1988  ,270312,Connecticut
1989  ,243075,Connecticut
1990  ,243985,Connecticut
1991  ,163251,Connecticut
1992  ,214533,Connecticut
1993  ,268117,Connecticut
1994  ,251155,Connecticut
1995  ,243139,Connecticut
1996  ,121439,Connecticut
1997  ,49401,Connecticut
1998  ,83210,Connecticut
1999  ,181746,Connecticut
2000  ,221252,Connecticut
2001  ,190925,Connecticut
2002  ,184091,Connecticut
2003  ,198795,Connecticut
2004  ,202659,Connecticut
2005  ,188134,Connecticut
2006  ,198740,Connecticut
2007  ,195760,Connecticut
2008  ,187557,Connecticut
2009  ,203651,Connecticut
2010  ,205376,Connecticut
2011  ,197247,Connecticut
2012  ,205700,Connecticut
2013  ,207795,Connecticut
2014  ,197708,Connecticut
2015  ,214601,Connecticut
2016  ,206151,Connecticut
2017  ,204862,Connecticut
1960  ,155,District of Columbia
1961  ,163,District of Columbia
1962  ,166,District of Columbia
1963  ,148,District of Columbia
1964  ,138,District of Columbia
1965  ,120,District of Columbia
1966  ,111,District of Columbia
1967  ,112,District of Columbia
1968  ,120,District of Columbia
1969  ,108,District of Columbia
1970  ,113,District of Columbia
1971  ,116,District of Columbia
1972  ,118,District of Columbia
1973  ,114,District of Columbia
1974  ,129,District of Columbia
1975  ,131,District of Columbia
1976  ,146,District of Columbia
1977  ,158,District of Columbia
1978  ,193,District of Columbia
1979  ,210,District of Columbia
1980  ,2849,District of Columbia
1981  ,2311,District of Columbia
1982  ,3654,District of Columbia
1983  ,2563,District of Columbia
1984  ,3226,District of Columbia
1985  ,3327,District of Columbia
1986  ,3047,District of Columbia
1987  ,2226,District of Columbia
1988  ,2378,District of Columbia
1989  ,2511,District of Columbia
1990  ,1283,District of Columbia
1991  ,1345,District of Columbia
1992  ,1412,District of Columbia
1993  ,1946,District of Columbia
1994  ,1849,District of Columbia
1995  ,1851,District of Columbia
1996  ,1922,District of Columbia
1997  ,1378,District of Columbia
1998  ,1222,District of Columbia
1999  ,1259,District of Columbia
2000  ,1354,District of Columbia
2001  ,866,District of Columbia
2002  ,881,District of Columbia
2003  ,926,District of Columbia
2004  ,943,District of Columbia
2005  ,47,District of Columbia
2006  ,52,District of Columbia
2007  ,55,District of Columbia
2008  ,65,District of Columbia
2009  ,49,District of Columbia
2010  ,114,District of Columbia
2011  ,290,District of Columbia
2012  ,285,District of Columbia
2013  ,305,District of Columbia
2014  ,344,District of Columbia
2015  ,824,District of Columbia
2016  ,1107,District of Columbia
2017  ,1316,District of Columbia
1960  ,4982,Delaware
1961  ,5101,Delaware
1962  ,5134,Delaware
1963  ,5356,Delaware
1964  ,5510,Delaware
1965  ,5577,Delaware
1966  ,5852,Delaware
1967  ,5783,Delaware
1968  ,6594,Delaware
1969  ,7073,Delaware
1970  ,7021,Delaware
1971  ,7673,Delaware
1972  ,8190,Delaware
1973  ,8483,Delaware
1974  ,8466,Delaware
1975  ,7901,Delaware
1976  ,9607,Delaware
1977  ,10161,Delaware
1978  ,10667,Delaware
1979  ,8729,Delaware
1980  ,2472,Delaware
1981  ,2006,Delaware
1982  ,3170,Delaware
1983  ,2224,Delaware
1984  ,2927,Delaware
1985  ,3019,Delaware
1986  ,2765,Delaware
1987  ,2162,Delaware
1988  ,2310,Delaware
1989  ,2516,Delaware
1990  ,1653,Delaware
1991  ,1734,Delaware
1992  ,1784,Delaware
1993  ,2492,Delaware
1994  ,2422,Delaware
1995  ,2476,Delaware
1996  ,2642,Delaware
1997  ,2203,Delaware
1998  ,1936,Delaware
1999  ,2001,Delaware
2000  ,2290,Delaware
2001  ,1325,Delaware
2002  ,1314,Delaware
2003  ,1401,Delaware
2004  ,1435,Delaware
2005  ,955,Delaware
2006  ,872,Delaware
2007  ,1531,Delaware
2008  ,2952,Delaware
2009  ,3577,Delaware
2010  ,3838,Delaware
2011  ,4172,Delaware
2012  ,3581,Delaware
2013  ,3795,Delaware
2014  ,4224,Delaware
2015  ,3516,Delaware
2016  ,3110,Delaware
2017  ,3279,Delaware
1960  ,37861,Florida
1961  ,36626,Florida
1962  ,38296,Florida
1963  ,41351,Florida
1964  ,42666,Florida
1965  ,48552,Florida
1966  ,53481,Florida
1967  ,53811,Florida
1968  ,58251,Florida
1969  ,61596,Florida
1970  ,68429,Florida
1971  ,82200,Florida
1972  ,172552,Florida
1973  ,336589,Florida
1974  ,396495,Florida
1975  ,444876,Florida
1976  ,475202,Florida
1977  ,589490,Florida
1978  ,592381,Florida
1979  ,588408,Florida
1980  ,590726,Florida
1981  ,499530,Florida
1982  ,508014,Florida
1983  ,401142,Florida
1984  ,477698,Florida
1985  ,446518,Florida
1986  ,420831,Florida
1987  ,366660,Florida
1988  ,450315,Florida
1989  ,509630,Florida
1990  ,473948,Florida
1991  ,463646,Florida
1992  ,536395,Florida
1993  ,532995,Florida
1994  ,540526,Florida
1995  ,564446,Florida
1996  ,553109,Florida
1997  ,518076,Florida
1998  ,574887,Florida
1999  ,570519,Florida
2000  ,567461,Florida
2001  ,521390,Florida
2002  ,552237,Florida
2003  ,534809,Florida
2004  ,526195,Florida
2005  ,501932,Florida
2006  ,530687,Florida
2007  ,511828,Florida
2008  ,544962,Florida
2009  ,522490,Florida
2010  ,503388,Florida
2011  ,485164,Florida
2012  ,423461,Florida
2013  ,523059,Florida
2014  ,535522,Florida
2015  ,530953,Florida
2016  ,541547,Florida
2017  ,554439,Florida
1960  ,96116,Georgia
1961  ,94691,Georgia
1962  ,96771,Georgia
1963  ,103171,Georgia
1964  ,118296,Georgia
1965  ,108022,Georgia
1966  ,109456,Georgia
1967  ,109475,Georgia
1968  ,106371,Georgia
1969  ,105812,Georgia
1970  ,98222,Georgia
1971  ,109007,Georgia
1972  ,114745,Georgia
1973  ,125605,Georgia
1974  ,122068,Georgia
1975  ,159348,Georgia
1976  ,185494,Georgia
1977  ,181782,Georgia
1978  ,187805,Georgia
1979  ,205226,Georgia
1980  ,236053,Georgia
1981  ,202508,Georgia
1982  ,217014,Georgia
1983  ,235880,Georgia
1984  ,218782,Georgia
1985  ,253809,Georgia
1986  ,218287,Georgia
1987  ,305371,Georgia
1988  ,299310,Georgia
1989  ,482467,Georgia
1990  ,497899,Georgia
1991  ,499665,Georgia
1992  ,527634,Georgia
1993  ,526056,Georgia
1994  ,543173,Georgia
1995  ,571269,Georgia
1996  ,571162,Georgia
1997  ,581648,Georgia
1998  ,585785,Georgia
1999  ,560061,Georgia
2000  ,560846,Georgia
2001  ,543799,Georgia
2002  ,608531,Georgia
2003  ,568266,Georgia
2004  ,578661,Georgia
2005  ,545083,Georgia
2006  ,541212,Georgia
2007  ,541916,Georgia
2008  ,504339,Georgia
2009  ,525635,Georgia
2010  ,571317,Georgia
2011  ,559146,Georgia
2012  ,563230,Georgia
2013  ,591857,Georgia
2014  ,608728,Georgia
2015  ,624337,Georgia
2016  ,642315,Georgia
2017  ,624378,Georgia
1960  ,292,Hawaii
1961  ,258,Hawaii
1962  ,214,Hawaii
1963  ,446,Hawaii
1964  ,1429,Hawaii
1965  ,1265,Hawaii
1966  ,1309,Hawaii
1967  ,1389,Hawaii
1968  ,1657,Hawaii
1969  ,1773,Hawaii
1970  ,1559,Hawaii
1971  ,1283,Hawaii
1972  ,1491,Hawaii
1973  ,1528,Hawaii
1974  ,1550,Hawaii
1975  ,1498,Hawaii
1976  ,1663,Hawaii
1977  ,1355,Hawaii
1978  ,1143,Hawaii
1979  ,1258,Hawaii
1980  ,12808,Hawaii
1981  ,13571,Hawaii
1982  ,13379,Hawaii
1983  ,14920,Hawaii
1984  ,15372,Hawaii
1985  ,15307,Hawaii
1986  ,17315,Hawaii
1987  ,18834,Hawaii
1988  ,20427,Hawaii
1989  ,28875,Hawaii
1990  ,27937,Hawaii
1991  ,27516,Hawaii
1992  ,26800,Hawaii
1993  ,27829,Hawaii
1994  ,25405,Hawaii
1995  ,24608,Hawaii
1996  ,24088,Hawaii
1997  ,22502,Hawaii
1998  ,21657,Hawaii
1999  ,21767,Hawaii
2000  ,20386,Hawaii
2001  ,12389,Hawaii
2002  ,10452,Hawaii
2003  ,13310,Hawaii
2004  ,13769,Hawaii
2005  ,12937,Hawaii
2006  ,14001,Hawaii
2007  ,15035,Hawaii
2008  ,15921,Hawaii
2009  ,15815,Hawaii
2010  ,15253,Hawaii
2011  ,16647,Hawaii
2012  ,18206,Hawaii
2013  ,22392,Hawaii
2014  ,24081,Hawaii
2015  ,24570,Hawaii
2016  ,27136,Hawaii
2017  ,26432,Hawaii
1960  ,37943,Iowa
1961  ,34859,Iowa
1962  ,38919,Iowa
1963  ,38456,Iowa
1964  ,32894,Iowa
1965  ,36702,Iowa
1966  ,36164,Iowa
1967  ,32480,Iowa
1968  ,34337,Iowa
1969  ,33900,Iowa
1970  ,36465,Iowa
1971  ,35516,Iowa
1972  ,34811,Iowa
1973  ,27988,Iowa
1974  ,43130,Iowa
1975  ,54089,Iowa
1976  ,54929,Iowa
1977  ,58106,Iowa
1978  ,41336,Iowa
1979  ,62098,Iowa
1980  ,96795,Iowa
1981  ,104262,Iowa
1982  ,102947,Iowa
1983  ,105350,Iowa
1984  ,117185,Iowa
1985  ,110943,Iowa
1986  ,148713,Iowa
1987  ,154433,Iowa
1988  ,163135,Iowa
1989  ,133347,Iowa
1990  ,128088,Iowa
1991  ,142166,Iowa
1992  ,141569,Iowa
1993  ,143683,Iowa
1994  ,157845,Iowa
1995  ,152311,Iowa
1996  ,160933,Iowa
1997  ,153720,Iowa
1998  ,147502,Iowa
1999  ,152225,Iowa
2000  ,155811,Iowa
2001  ,145163,Iowa
2002  ,160968,Iowa
2003  ,175690,Iowa
2004  ,224160,Iowa
2005  ,259924,Iowa
2006  ,316592,Iowa
2007  ,380265,Iowa
2008  ,454058,Iowa
2009  ,585769,Iowa
2010  ,674544,Iowa
2011  ,690105,Iowa
2012  ,678550,Iowa
2013  ,730564,Iowa
2014  ,754960,Iowa
2015  ,771045,Iowa
2016  ,804689,Iowa
2017  ,835071,Iowa
1960  ,77688,Idaho
1961  ,70403,Idaho
1962  ,73984,Idaho
1963  ,73227,Idaho
1964  ,76892,Idaho
1965  ,79778,Idaho
1966  ,81379,Idaho
1967  ,82252,Idaho
1968  ,80804,Idaho
1969  ,76228,Idaho
1970  ,85735,Idaho
1971  ,89445,Idaho
1972  ,92776,Idaho
1973  ,97216,Idaho
1974  ,111472,Idaho
1975  ,118011,Idaho
1976  ,121380,Idaho
1977  ,85968,Idaho
1978  ,119334,Idaho
1979  ,113729,Idaho
1980  ,113407,Idaho
1981  ,115694,Idaho
1982  ,137242,Idaho
1983  ,152250,Idaho
1984  ,156347,Idaho
1985  ,132508,Idaho
1986  ,146627,Idaho
1987  ,101722,Idaho
1988  ,87512,Idaho
1989  ,124650,Idaho
1990  ,119510,Idaho
1991  ,116020,Idaho
1992  ,95133,Idaho
1993  ,126225,Idaho
1994  ,106699,Idaho
1995  ,139907,Idaho
1996  ,164235,Idaho
1997  ,179342,Idaho
1998  ,160202,Idaho
1999  ,167747,Idaho
2000  ,141448,Idaho
2001  ,105045,Idaho
2002  ,113779,Idaho
2003  ,109553,Idaho
2004  ,112379,Idaho
2005  ,121084,Idaho
2006  ,146507,Idaho
2007  ,125621,Idaho
2008  ,133541,Idaho
2009  ,134502,Idaho
2010  ,133288,Idaho
2011  ,177643,Idaho
2012  ,155318,Idaho
2013  ,139239,Idaho
2014  ,155418,Idaho
2015  ,153695,Idaho
2016  ,157060,Idaho
2017  ,175936,Idaho
1960  ,1526433,Illinois
1961  ,1506494,Illinois
1962  ,1599506,Illinois
1963  ,1645047,Illinois
1964  ,1688975,Illinois
1965  ,1727691,Illinois
1966  ,1835479,Illinois
1967  ,1845089,Illinois
1968  ,1771622,Illinois
1969  ,1788756,Illinois
1970  ,1776847,Illinois
1971  ,1612167,Illinois
1972  ,1841626,Illinois
1973  ,1771670,Illinois
1974  ,1675239,Illinois
1975  ,1716972,Illinois
1976  ,1752734,Illinois
1977  ,1660747,Illinois
1978  ,1607679,Illinois
1979  ,1785583,Illinois
1980  ,1886840,Illinois
1981  ,1707157,Illinois
1982  ,1906473,Illinois
1983  ,1872994,Illinois
1984  ,2101546,Illinois
1985  ,2055136,Illinois
1986  ,2147799,Illinois
1987  ,2152415,Illinois
1988  ,2355697,Illinois
1989  ,2383996,Illinois
1990  ,2344500,Illinois
1991  ,2341268,Illinois
1992  ,2366626,Illinois
1993  ,1975494,Illinois
1994  ,2166775,Illinois
1995  ,2121661,Illinois
1996  ,1967259,Illinois
1997  ,1659520,Illinois
1998  ,1669293,Illinois
1999  ,1957535,Illinois
2000  ,1888997,Illinois
2001  ,1908361,Illinois
2002  ,1912105,Illinois
2003  ,1935498,Illinois
2004  ,1900133,Illinois
2005  ,1896726,Illinois
2006  ,1918053,Illinois
2007  ,1973702,Illinois
2008  ,2003895,Illinois
2009  ,2081719,Illinois
2010  ,2094124,Illinois
2011  ,2190684,Illinois
2012  ,2441327,Illinois
2013  ,2519098,Illinois
2014  ,2681784,Illinois
2015  ,2653062,Illinois
2016  ,2400561,Illinois
2017  ,2516310,Illinois
1960  ,441137,Indiana
1961  ,427978,Indiana
1962  ,444556,Indiana
1963  ,429887,Indiana
1964  ,424814,Indiana
1965  ,436816,Indiana
1966  ,472286,Indiana
1967  ,504437,Indiana
1968  ,491358,Indiana
1969  ,523314,Indiana
1970  ,568289,Indiana
1971  ,543204,Indiana
1972  ,645110,Indiana
1973  ,614098,Indiana
1974  ,575209,Indiana
1975  ,601302,Indiana
1976  ,611331,Indiana
1977  ,671646,Indiana
1978  ,595370,Indiana
1979  ,677130,Indiana
1980  ,756592,Indiana
1981  ,725449,Indiana
1982  ,785360,Indiana
1983  ,792648,Indiana
1984  ,914373,Indiana
1985  ,834936,Indiana
1986  ,829471,Indiana
1987  ,858033,Indiana
1988  ,798991,Indiana
1989  ,836262,Indiana
1990  ,875212,Indiana
1991  ,779653,Indiana
1992  ,758583,Indiana
1993  ,723408,Indiana
1994  ,756796,Indiana
1995  ,647010,Indiana
1996  ,720881,Indiana
1997  ,845617,Indiana
1998  ,870583,Indiana
1999  ,812026,Indiana
2000  ,678282,Indiana
2001  ,875593,Indiana
2002  ,854384,Indiana
2003  ,859937,Indiana
2004  ,854703,Indiana
2005  ,840792,Indiana
2006  ,845555,Indiana
2007  ,868290,Indiana
2008  ,942352,Indiana
2009  ,966316,Indiana
2010  ,991005,Indiana
2011  ,1065169,Indiana
2012  ,1046215,Indiana
2013  ,1107729,Indiana
2014  ,1124189,Indiana
2015  ,1037125,Indiana
2016  ,921929,Indiana
2017  ,979295,Indiana
1960  ,1359873,Kansas
1961  ,1363502,Kansas
1962  ,1416145,Kansas
1963  ,1445760,Kansas
1964  ,1468850,Kansas
1965  ,1487758,Kansas
1966  ,1535913,Kansas
1967  ,1535900,Kansas
1968  ,1472627,Kansas
1969  ,1490763,Kansas
1970  ,1493474,Kansas
1971  ,1437972,Kansas
1972  ,1419790,Kansas
1973  ,1371822,Kansas
1974  ,1326950,Kansas
1975  ,1259964,Kansas
1976  ,1242018,Kansas
1977  ,1195359,Kansas
1978  ,1270377,Kansas
1979  ,1216049,Kansas
1980  ,1175659,Kansas
1981  ,1118860,Kansas
1982  ,930711,Kansas
1983  ,949490,Kansas
1984  ,1006534,Kansas
1985  ,1088348,Kansas
1986  ,1029975,Kansas
1987  ,1016377,Kansas
1988  ,1085945,Kansas
1989  ,1109687,Kansas
1990  ,1060693,Kansas
1991  ,1120060,Kansas
1992  ,1143387,Kansas
1993  ,1144542,Kansas
1994  ,1169848,Kansas
1995  ,1181612,Kansas
1996  ,1132218,Kansas
1997  ,1086108,Kansas
1998  ,1004103,Kansas
1999  ,908969,Kansas
2000  ,906013,Kansas
2001  ,866244,Kansas
2002  ,836858,Kansas
2003  ,799242,Kansas
2004  ,788950,Kansas
2005  ,754158,Kansas
2006  ,778155,Kansas
2007  ,794130,Kansas
2008  ,836439,Kansas
2009  ,815669,Kansas
2010  ,812010,Kansas
2011  ,780572,Kansas
2012  ,791979,Kansas
2013  ,829185,Kansas
2014  ,880528,Kansas
2015  ,853208,Kansas
2016  ,792335,Kansas
2017  ,815475,Kansas
1960  ,1846574,Kentucky
1961  ,1730652,Kentucky
1962  ,1874016,Kentucky
1963  ,2072415,Kentucky
1964  ,2214551,Kentucky
1965  ,2288081,Kentucky
1966  ,2454270,Kentucky
1967  ,2634799,Kentucky
1968  ,2637787,Kentucky
1969  ,2817467,Kentucky
1970  ,3231395,Kentucky
1971  ,3077575,Kentucky
1972  ,3108436,Kentucky
1973  ,3247880,Kentucky
1974  ,3442201,Kentucky
1975  ,3620395,Kentucky
1976  ,3665989,Kentucky
1977  ,3684669,Kentucky
1978  ,3450463,Kentucky
1979  ,3820884,Kentucky
1980  ,3863922,Kentucky
1981  ,4125988,Kentucky
1982  ,3936511,Kentucky
1983  ,3453808,Kentucky
1984  ,4190727,Kentucky
1985  ,4032072,Kentucky
1986  ,4068328,Kentucky
1987  ,4321937,Kentucky
1988  ,4180229,Kentucky
1989  ,4402357,Kentucky
1990  ,4578095,Kentucky
1991  ,4229953,Kentucky
1992  ,4290983,Kentucky
1993  ,4132254,Kentucky
1994  ,4268629,Kentucky
1995  ,4067394,Kentucky
1996  ,4025955,Kentucky
1997  ,4092902,Kentucky
1998  ,3981364,Kentucky
1999  ,3640123,Kentucky
2000  ,3413474,Kentucky
2001  ,3484288,Kentucky
2002  ,3271650,Kentucky
2003  ,2983015,Kentucky
2004  ,3030049,Kentucky
2005  ,3153341,Kentucky
2006  ,3177257,Kentucky
2007  ,3044505,Kentucky
2008  ,3122441,Kentucky
2009  ,2822879,Kentucky
2010  ,2785861,Kentucky
2011  ,2844792,Kentucky
2012  ,2393341,Kentucky
2013  ,2137438,Kentucky
2014  ,2068231,Kentucky
2015  ,1682416,Kentucky
2016  ,1230828,Kentucky
